rating,draft_year,draft_round,draft_peak,height_cm,version_split,p_age,weight_kg,salary_usd,team_Lencoded,position_Lencoded
97,2003,1,1,206.0,2020,36,113.4,37436858.0,14,2
97,2011,1,15,200.99999999999997,2020,29,102.1,32742000.0,13,2
96,2013,1,15,211.0,2020,26,109.8,25842697.0,17,4
96,2007,1,2,208.0,2020,32,104.3,37199000.0,2,2
96,2009,1,3,196.0,2020,31,99.8,38199000.0,11,5
95,2009,1,7,191.0,2020,32,83.9,40231758.0,10,5
94,2012,1,1,208.0,2020,27,100.7,27093019.0,14,3
93,2010,1,10,202.99999999999997,2020,30,95.3,33005556.0,13,2
92,2012,1,6,188.0,2020,30,88.5,29802321.0,25,5
91,2014,1,3,213.0,2020,26,113.4,27504630.0,23,0
91,2011,1,1,188.0,2020,28,81.6,31742000.0,2,5
90,2014,2,41,213.0,2020,25,114.8,27504630.0,7,0
90,2008,1,4,191.0,2020,32,86.2,38506482.0,11,5
89,2011,1,11,198.0,2020,30,93.0,32742000.0,10,5
89,2015,1,1,211.0,2020,25,112.5,27285000.0,18,3
88,2011,1,30,200.99999999999997,2020,31,99.8,32742000.0,16,5
88,2013,1,27,216.0,2020,28,108.0,25258427.0,29,0
88,2009,1,1,206.0,2020,31,114.3,34449964.0,8,2
88,2017,1,13,185.0,2020,24,95.7,3635760.0,29,5
88,2011,1,9,183.0,2020,30,78.0,32742000.0,1,5
87,2018,1,3,200.99999999999997,2020,21,103.0,7683360.0,6,6
87,2006,1,2,211.0,2020,35,111.6,26000000.0,27,3
87,2012,1,3,191.0,2020,27,93.9,27093018.0,30,5
87,2007,1,4,185.0,2020,33,83.9,32511623.0,29,5
87,2009,1,9,198.0,2020,31,99.8,27739975.0,27,6
87,2013,1,10,191.0,2020,29,89.4,27556959.0,25,5
87,2013,1,2,193.0,2020,28,96.6,21000000.0,12,5
87,2015,1,4,221.0,2020,25,99.8,27285000.0,6,3
87,2015,1,2,193.0,2020,24,87.5,27285000.0,18,5
87,2016,1,27,206.0,2020,26,103.0,2351838.0,28,2
87,2016,1,1,208.0,2020,24,108.9,8113929.0,23,2
86,2017,1,5,191.0,2020,23,77.6,6392760.0,26,5
86,2015,1,13,196.0,2020,24,93.4,27285000.0,24,5
86,2010,1,5,208.0,2020,30,122.5,3500000.0,9,0
86,2012,1,9,208.0,2020,27,122.5,27093018.0,5,0
86,2012,2,35,198.0,2020,30,104.3,18539130.0,10,2
86,2009,1,17,191.0,2020,30,81.6,26131111.0,19,5
86,2011,1,16,211.0,2020,30,108.9,28000000.0,22,0
86,2010,1,1,193.0,2020,30,88.5,38199000.0,30,5
85,2017,1,3,202.99999999999997,2020,22,92.5,7830000.0,1,2
85,2018,1,5,185.0,2020,22,81.6,6273000.0,0,5
85,2010,1,18,185.0,2020,31,88.5,15625000.0,17,5
85,2014,1,25,208.0,2020,26,95.7,16896552.0,0,0
85,2011,1,19,202.99999999999997,2020,28,102.5,32742000.0,23,2
85,2007,1,3,206.0,2020,34,111.6,28000000.0,23,1
85,2014,1,13,198.0,2020,25,82.1,19500000.0,4,5
85,2006,1,24,183.0,2020,34,93.0,33296296.0,28,5
85,2012,2,39,200.99999999999997,2020,29,98.4,30603448.0,17,2
85,2005,1,4,185.0,2020,35,79.4,38506482.0,21,5
84,2017,1,19,206.0,2020,23,102.1,2686560.0,0,2
84,2016,1,6,193.0,2020,27,96.2,4861207.0,26,5
84,2017,1,27,202.99999999999997,2020,25,100.2,1974600.0,14,2
84,2016,1,7,193.0,2020,23,91.2,4444746.0,7,5
84,2005,2,45,185.0,2020,34,79.4,8000000.0,13,5
83,2018,1,2,211.0,2020,21,106.6,8556120.0,26,2
83,2011,2,31,202.99999999999997,2020,31,98.0,17000000.0,29,6
83,2016,2,36,196.0,2020,28,101.2,20000000.0,12,5
83,2008,1,6,208.0,2020,32,102.1,22615559.0,21,2
83,2015,2,32,200.99999999999997,2020,26,114.8,6000000.0,13,2
83,2008,1,5,202.99999999999997,2020,32,117.9,28942830.0,5,2
83,2017,1,7,213.0,2020,23,108.9,5300400.0,4,3
83,2014,1,16,213.0,2020,26,131.5,12000000.0,25,0
83,2014,1,7,202.99999999999997,2020,26,113.4,18000000.0,20,2
82,2007,2,48,211.0,2020,35,120.2,25595700.0,28,0
82,2013,1,12,211.0,2020,27,115.7,25842697.0,21,0
82,2018,1,1,211.0,2020,22,113.4,9562920.0,24,0
82,2014,2,38,196.0,2020,27,93.0,10605600.0,2,5
82,2018,1,4,211.0,2020,21,110.0,6699960.0,15,3
82,2017,2,47,200.99999999999997,2020,35,113.4,30350000.0,7,3
82,2014,1,6,191.0,2020,26,103.0,12553571.0,1,5
82,2015,1,11,211.0,2020,24,108.4,18000000.0,12,3
81,2008,1,24,213.0,2020,31,108.9,23271604.0,28,2
81,2019,1,1,198.0,2020,120,128.8,9757440.0,19,2
81,2006,1,8,202.99999999999997,2020,34,104.3,14500000.0,27,2
81,2014,1,4,202.99999999999997,2020,25,99.8,19863636.0,22,2
81,2016,1,2,200.99999999999997,2020,23,88.9,7265485.0,19,2
81,2008,2,35,211.0,2020,32,120.2,9881598.0,2,0
81,2016,1,11,211.0,2020,24,104.8,3529554.0,12,3
81,2011,1,5,211.0,2020,28,104.8,16000000.0,15,0
81,2010,2,33,213.0,2020,31,106.6,27093018.0,25,0
80,2008,1,1,188.0,2020,32,86.2,7317074.0,8,5
80,2013,0,0,200.99999999999997,2020,30,94.8,11301219.0,11,2
80,2010,1,3,206.0,2020,29,111.6,17650000.0,19,2
80,2010,1,9,200.99999999999997,2020,30,93.9,32700690.0,1,2
80,2011,1,24,191.0,2020,30,94.3,17799677.0,13,5
80,2011,1,3,208.0,2020,28,118.8,4767000.0,1,0
80,2013,1,2,202.99999999999997,2020,27,89.8,27250576.0,4,2
80,2006,1,11,191.0,2020,36,86.2,13486300.0,19,5
80,2015,2,40,196.0,2020,27,90.7,10116576.0,23,5
80,2014,1,14,202.99999999999997,2020,27,99.8,11060000.0,12,2
79,2019,1,2,191.0,2020,21,78.9,8730240.0,15,5
79,2017,1,14,206.0,2020,23,110.2,3454080.0,16,3
79,2017,1,22,211.0,2020,22,106.1,2376840.0,2,0
79,2017,1,2,198.0,2020,23,86.2,8719320.0,19,5
79,2012,1,7,202.99999999999997,2020,28,95.3,24147727.0,26,2
79,2009,2,42,185.0,2020,32,81.6,12345680.0,13,5
79,2016,1,3,198.0,2020,24,101.2,6534829.0,1,2
79,2015,1,6,213.0,2020,27,109.8,2177483.0,6,0
79,2008,2,45,191.0,2020,34,86.2,19217900.0,16,5
79,2018,1,11,196.0,2020,22,81.6,3952920.0,21,5
79,2014,1,19,193.0,2020,26,93.0,17839286.0,7,5
79,2009,0,0,200.99999999999997,2020,33,94.8,11454546.0,29,2
79,2012,1,12,196.0,2020,28,81.6,10500000.0,12,5
79,2008,1,10,213.0,2020,32,120.2,12093024.0,17,0
79,2008,1,18,213.0,2020,32,122.5,4000000.0,14,0
79,2018,2,36,213.0,2020,22,101.2,1559712.0,20,0
79,2012,1,8,198.0,2020,29,93.4,12500000.0,22,5
79,2011,1,4,206.0,2020,29,102.1,18539130.0,5,2
